Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
32260;LAFFARGUE;5 RUE DES REMPARTS;;33000;BORDEAUX;05 56 44 75 56;M.;ETABLISSEMENT LAFFARGUE;;5 RUE DES REMPARTS;;33000;BORDEAUX;05 56 44 75 56;;ETABLISSEMENT LAFFARGUE
32270;MASSIE SAS;AGENCE DE L'ARSENAL;1 RUE DE L'ARSENAL;33000;BORDEAUX;05 56 48 49 99;;MASSIE SAS;;AGENCE DE L'ARSENAL;1 RUE DE L'ARSENAL;33000;BORDEAUX;05 56 48 49 99;;
32280;LARRIEU FRERES;51/55 RUE SAINTE COLOMBE B P 1;;33036;BORDEAUX CEDEX;05 56 52 59 00;LARRIEU FRERES;ETABLISSEMENT LARRIEU FRERES;;51/55 RUE SAINTE COLOMBE B P 1;;33036;BORDEAUX CEDEX;05 56 52 59 00;;LARRIEU FRERES
32290;NIVEAU 3 ARCHITECTURE;1 RUE DE FLEURUS;;33000;BORDEAUX;05 56 24 54 90;VINCENT;NIVEAU 3 ARCHITECTURE;;1 RUE DE FLEURUS;;33000;BORDEAUX;05 56 24 54 90;;SCP LASSAUX - POUGET
32300;LATAPIE-SAYO CATHERINE;AVOCAT A LA COUR;46 RUE DU MARECHAL JOFFRE;33000;BORDEAUX CEDEX;05 57 85 35 90;M.;CATHERINE LATAPIE-SAYO;;AVOCAT A LA COUR;46 RUE DU MARECHAL JOFFRE;33000;BORDEAUX;05 57 85 35 90;;CATHERINE LATAPIE-SAYO
32310;MAITRE LEGLISE;AVOCAT A LA COUR;18 RUE VITAL CARLES;33000;BORDEAUX;05 56 48 06 58;M.;MAITRE LEGLISE;;18 RUE VITAL CARLES;18 RUE VITAL CARLES;33000;BORDEAUX;05 56 48 06 58;;MAITRE LEGLISE
32330;CABINET LETORT;6-8 ALLEES DE TOURNY;DIGICODE VOIR LAMY 1ER ETAGE;33000;BORDEAUX;05 35 371 371;MR AROUNY;CABINET LETORT;;6-8 ALLEES DE TOURNY;DIGICODE VOIR LAMY 1ER ETAGE;33000;BORDEAUX;05 35 371 371;;CABINET LETORT
32340;GROUPE LOISIER;ARCHITECTE;42 PLACE GAMBETTA;33000;BORDEAUX;05 56 81 38 49;M.;GROUPE LOISIER;;ARCHITECTE;42 PLACE GAMBETTA;33000;BORDEAUX;05 56 81 38 49;;GROUPE LOISIER
32350;MAITRE MARCONI;AVOCAT A LA COUR;17 COURS CLEMENCEAU;33000;BORDEAUX;05 56 00 03 33;MME ORTET;MAITRE MARCONI;;17 COURS CLEMENCEAU;17 COURS CLEMENCEAU;33000;BORDEAUX;05 56 00 03 33;;MAITRE MARCONI
32360;MAITRE MARGUERY;31 COURS DE L INTENDANCE;;33000;BORDEAUX;05 56 52 24 39;M.;CABINET MAITRE MARGUERY;;31 COURS DE L INTENDANCE 1 ETA;;33000;BORDEAUX;05 56 52 24 39;;CABINET MAITRE MARGUERY
